gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000188672	4.0427	4.2402	4.3343	4.3578	4.1036	5.8545	4.5511	3.7818
ENSG00000238084	5.0618	5.232	5.1717	4.6328	4.5207	4.9725	4.672	4.4973
ENSG00000204178	9.9236	9.9372	9.6009	9.5928	10.8365	10.9316	10.1768	10.607
ENSG00000157978	10.0679	10.0101	9.7775	10.52	9.7041	9.7693	9.4464	9.7806
ENSG00000225643	3.8604	3.895	3.0187	4.1245	3.437	3.4764	3.0187	3.0187
ENSG00000117643	6.8181	7.0871	5.9841	8.7681	10.8665	7.0505	7.3297	7.2547
ENSG00000233478	3.0187	3.0187	3.0187	4.1245	3.6083	3.4764	3.8457	3.0187
ENSG00000162430	13.0434	13.1924	12.8653	13.172	12.0808	11.3883	12.2386	12.054
ENSG00000228172	4.1934	4.7924	4.3343	4.248	4.3034	4.6503	4.6131	3.9481
ENSG00000117640	8.9678	9.2895	9.3259	9.1604	9.3659	9.6459	9.3016	8.8653
ENSG00000127423	7.1859	6.7561	7.3664	6.9295	5.5993	5.6027	6.5257	7.5782
ENSG00000236528	3.0187	3.4618	3.0187	3.5816	3.0187	3.4764	3.5005	3.0187
ENSG00000182749	7.9663	8.3481	8.4131	8.4239	7.5234	8.2002	8.0351	7.1872
ENSG00000117632	13.4241	13.2102	13.2045	13.4464	13.0629	13.7143	12.99	13.388
ENSG00000229786	3.444	3.0187	3.0187	3.0187	3.8469	4.026	3.697	3.7818
ENSG00000223624	3.444	3.0187	3.0187	3.5816	3.8469	4.2785	3.5005	3.0187
ENSG00000158006	8.1863	8.4342	8.3822	8.3035	8.2358	9.6144	8.3895	8.3937
ENSG00000207237	3.0187	3.0187	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000158008	3.618	4.2402	3.7954	3.8099	3.0187	3.0187	3.5005	3.5614
ENSG00000158014	3.0187	6.08	3.7954	3.0187	3.437	3.0187	4.833	4.086
ENSG00000284309	3.0187	3.4618	3.0187	3.0187	3.6083	3.0187	3.697	3.0187
ENSG00000158022	3.0187	6.2524	3.0187	3.9819	3.0187	3.0187	3.5005	3.0187
ENSG00000175087	7.5837	7.2931	7.3451	7.2715	8.4773	8.6743	7.4017	7.2981
ENSG00000197245	7.0217	6.7561	6.9538	7.2479	6.2161	6.4843	5.9466	4.8596
ENSG00000236782	3.444	3.643	3.7954	3.8099	3.437	3.0187	3.5005	3.5614
ENSG00000142684	3.444	3.0187	3.0187	3.0187	3.437	3.0187	3.0187	3.0187
ENSG00000142675	3.7502	3.7804	4.1046	3.8099	3.8469	3.6634	3.0187	3.0187
ENSG00000236155	4.4393	3.895	3.7954	4.1245	3.0187	3.8051	3.5005	3.7818
ENSG00000278572	3.618	3.895	3.0187	3.8099	3.6083	3.4764	3.0187	3.5614
ENSG00000130695	9.7153	9.1787	9.9453	9.6229	8.8478	9.2705	9.3366	9.9628
ENSG00000270733	3.0187	3.0187	3.7954	3.0187	3.437	3.8051	3.0187	3.5614
ENSG00000142669	12.9756	13.7784	13.149	13.3085	10.9668	9.527	11.612	12.5373
ENSG00000158062	8.3237	8.6182	8.2401	8.5829	5.982	5.6276	7.0196	6.7763
ENSG00000169442	3.0187	3.0187	3.0187	3.0187	3.437	3.0187	3.697	3.0187
ENSG00000176092	3.7502	3.0187	3.7954	3.5816	3.8469	3.0187	5.2193	3.0187
ENSG00000225854	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187	3.5005	3.0187
ENSG00000131914	3.0187	3.4618	3.0187	3.0187	3.437	3.4764	3.0187	3.5614
ENSG00000117682	10.2446	10.5312	10.8756	10.5953	10.174	9.8679	10.472	10.9212
ENSG00000223583	3.444	3.643	3.0187	4.1245	3.7383	4.35	4.5511	4.2057
ENSG00000225891	3.618	3.0187	3.0187	3.5816	4.0264	4.2015	4.4156	4.2057
ENSG00000198830	13.236	13.1728	13.3326	13.6158	11.6569	11.4276	11.8986	12.4606
ENSG00000117676	9.141	8.8212	8.9084	9.521	6.5821	7.086	7.9309	7.1987
