gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000259918	9.9337	11.5612	2.4064	3.7492	6.8623	8.2283	13.6855	13.9263
ENSG00000261231	0	0	0	0	0	3.2913	0.9124	0
ENSG00000261325	0	0	0	1.2497	0	0	3.6495	0
ENSG00000261017	0.7095	0.7707	0	0	0	0	0	0
ENSG00000121270	0	0.7707	0	1.2497	0	4.1142	1.8247	1.1605
ENSG00000102910	1441.8036	1289.4632	1710.9641	1323.4621	2340.0551	2921.0622	2438.7569	2874.6266
ENSG00000240793	0.7095	2.3122	2.4064	0	0	3.2913	4.5618	2.3211
ENSG00000280067	12.0623	4.6245	9.6257	11.2476	19.9008	32.0905	40.1441	17.4079
ENSG00000196470	137.6525	155.6913	77.0054	71.2345	248.4164	269.8897	166.0508	116.0527
ENSG00000260347	0.7095	0	0	0	0	0	0	0
ENSG00000102921	853.5875	693.6741	712.3001	701.0975	2031.9364	3118.5424	1493.5448	1779.0886
